price,rating,title
51.77,Three,A Light in the Attic
53.74,One,Tipping the Velvet
50.1,One,Soumission
47.82,Four,Sharp Objects
54.23,Five,Sapiens: A Brief History of Humankind
22.65,One,The Requiem Red
33.34,Four,The Dirty Little Secrets of Getting Your Dream Job
17.93,Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
22.6,Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
52.15,One,The Black Maria
13.99,Two,"Starving Hearts (Triangular Trade Trilogy, #1)"
20.66,Four,Shakespeare's Sonnets
17.46,Five,Set Me Free
52.29,Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
35.02,Five,Rip it Up and Start Again
57.25,Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
23.88,One,Olio
37.59,One,Mesaerion: The Best Science Fiction Stories 1800-1849
51.33,Two,Libertarianism for Beginners
45.17,Two,It's Only the Himalayas
12.84,One,In Her Wake
37.32,Two,How Music Works
30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
25.27,Five,Chase Me (Paris Nights #2)
34.53,Five,Black Dust
54.64,Three,Birdsong: A Story in Pictures
22.5,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
53.13,Three,Aladdin and His Wonderful Lamp
40.3,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
44.18,Four,Wall and Piece
17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
23.82,Five,The Elephant Tree
36.89,One,The Bear and the Piano
15.94,Five,Sophie's World
33.29,Three,Penny Maybe
18.02,Two,Maude (1883-1993):She Grew Up with the country
19.63,One,"In a Dark, Dark Wood"
52.22,Four,Behind Closed Doors
33.63,Two,You can't bury them all: Poems
57.31,Three,Slow States of Collapse: Poems
26.41,Two,Reasons to Stay Alive
47.61,Five,Private Paris (Private #10)
23.11,Five,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.
45.07,Two,Without Borders (Wanderlove #1)
31.77,One,When We Collided
50.27,Five,"We Love You, Charlie Freeman"
14.27,Four,Untitled Collection: Sabbath Poems 2014
44.18,Four,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"
18.78,Three,Unicorn Tracks
25.52,One,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"
16.28,One,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
31.12,Three,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
19.49,Four,This One Summer
17.27,Five,Thirst
19.09,One,The Torch Is Passed: A Harding Family Story
56.13,One,The Secret of Dreadwillow Carse
56.41,One,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!"
56.5,Four,The Past Never Ends
45.22,Three,The Natural History of Us (The Fine Art of Pretending #2)
38.16,Four,The Nameless City (The Nameless City #1)
54.11,Three,The Murder That Never Was (Forensic Instincts #5)
42.96,Four,The Most Perfect Thing: Inside (and Outside) a Bird's Egg
23.89,Four,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy"
16.77,Three,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
20.59,Five,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer"
37.13,One,The Gutsy Girl: Escapades for Your Life of Epic Adventure
56.06,One,The Electric Pencil: Drawings from Inside State Hospital No. 3
58.11,Four,The Death of Humanity: and the Case for Life
49.05,Three,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life"
40.76,Three,The Art Forger
19.73,One,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind
32.24,Five,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution
41.83,Four,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up
39.58,Two,Soul Reader
39.25,Two,Security
25.02,Three,"Saga, Volume 6 (Saga (Collected Editions) #6)"
51.04,Two,"Saga, Volume 5 (Saga (Collected Editions) #5)"
19.83,Two,Reskilling America: Learning to Labor in the Twenty-First Century
50.4,Three,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"
13.61,Five,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)"
13.34,Five,Princess Between Worlds (Wide-Awake Princess #5)
18.97,One,"Pop Gun War, Volume 1: Gift"
36.28,Two,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics"
10.16,Three,Patience
15.44,Four,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)"
48.41,One,orange: The Complete Collection 1 (orange: The Complete Collection #1)
46.35,One,Online Marketing for Busy Authors: A Step-By-Step Guide
14.07,Three,On a Midnight Clear
14.86,Two,Obsidian (Lux #1)
33.37,Two,My Paris Kitchen: Recipes and Stories
56.4,Two,Masks and Shadows
14.02,Four,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"
46.91,Two,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"
45.61,Three,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)"
